area;ciudad;conglomerado;panelm;vivienda;hogar;p01;sexo;edad;p04;p05a;p05b;p06;p07;p08;p09;niveleducativo;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;factorexpancion;nnivins;ingrlaboral;ingpc;condicionlaboral;codicion_empleo;desempleo;secemp;grupo1;sectoreconomico;prov;dominio;pobreza;epobreza;upm;id_vivienda;id_hogar;id_persona;periodo;mes
1;50150;50150;58;1;1;1;2;33;1;10;10;3;1;6;;9;3;;2;;6;1;;1;1;;;;12;8;;2;1;20;1;4;;;; ;;;;;4100;4311;2;;3;2;2;2;2;2;2;2;2;2;2;2;7;9;1;20;1;1;1;20;;;;;;;;;;;;5;;;;;300;0;2;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;5;300;300;2;1;;1;4;6;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;1;1;1;2;34;1;10;10;3;1;6;;9;3;;2;;6;1;;1;1;;;;20;3;;2;1;20;7;;;;; ;;;;;4100;4311;2;;2;2;2;2;2;2;2;2;2;1;2;2;10;1;1;10;1;1;1;20;;;;;;;;;;;;5;;;;;175;0;1;7;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;5;182;182;2;1;;1;4;6;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
1;50150;50150;58;2;1;1;1;35;1;1;6;1;2;;2;10;2;;1;50720601;6;2;50158;1;1;;;;60;;1;4;;;;;;;; ;;;;;7490;2212;6;2;;;;;;;;;;;;;10;6;1;1;2;1;1;60;;;;;;;;;;;;1;1700;2;;300;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;5;1400;961,6;1;1;;1;2;13;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;2;1;2;2;37;2;1;10;1;2;;2;10;4;;1;40910218;6;2;50153;1;1;;;;56;;5;4;;;;;;;; ;;;;;8610;2212;1;;3;2;2;2;1;2;1;2;2;1;1;1;12;1;2;;;;2;40;26;0;8620;2212;6;2;6;1;1;2;1;1;;;;;2200;400;1;8;800;2; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;5;3408;961,6;1;1;;1;2;17;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;3;1;1;2;65;1;1;10;6;2;;11;6;6;;;;6;1;;1;1;;;;60;;1;4;;;;;;;; ;;;;;9700;9111;10;;2;1;2;2;1;2;1;2;2;2;1;1;12;8;1;1;;;1;60;;;;;;;;;;;;1;;;;;470;40;1;72;;; ;2;;2;;1;100;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;4;582;499;1;1;;3;9;20;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;3;1;2;2;33;3;1;10;6;2;;5;9;5;;1;30410102;6;1;;1;1;;;;40;;1;4;;;;;;;; ;;;;;130;3313;2;;2;1;2;2;1;1;1;2;2;1;1;1;2;1;2;;;;1;40;;;;;;;;;;;;1;;;;;480;60;1;75;;; ;2;;1;200;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;5;615;499;1;1;;1;3;1;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;3;1;1;2;66;1;1;10;6;2;;5;6;6;;;;6;2;50450;1;1;;;;70;;1;4;;;;;;;; ;;;;;9700;9111;10;;2;1;2;2;1;2;1;2;2;2;1;1;13;8;1;1;;;1;70;;;;;;;;;;;;1;;;;;380;90;1;180;;; ;2;;2;;1;150;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;4;650;552,3333333;1;1;;3;9;20;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
1;50150;50150;58;3;1;2;2;34;3;1;10;6;2;;2;9;5;;1;30410102;6;2;50161;1;1;;;;40;;1;4;;;;;;;; ;;;;;130;3313;2;;2;1;2;2;1;1;1;2;2;1;1;1;3;1;1;70;1;1;1;40;;;;;;;;;;;;1;;;;;500;100;1;57;;; ;2;;1;200;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;5;657;552,3333333;1;1;;1;3;1;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
1;50150;50150;58;4;1;1;2;39;1;1;10;2;2;;3;10;1;;1;50110108;6;2;50450;1;1;;;;40;;1;2;1;15;7;;;;; ;;;;;8521;2330;1;;3;2;2;2;1;2;1;2;2;1;1;1;9;1;2;;;;1;40;;;;;;;;;;;;1;;;;;460;250;1;7;;; ;1;100;1;177;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;5;717;497;1;1;;1;2;16;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;4;1;1;2;40;1;1;10;6;2;;2;10;1;;1;50110101;6;2;50450;1;1;;;;40;;1;4;;;;;;;; ;;;;;8521;2330;1;;1;2;2;2;1;2;1;2;2;1;1;1;9;1;2;;;;1;40;;;;;;;;;;;;1;;;;;1017;617;1;4;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;5;1638;819;1;1;;1;2;16;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
1;50150;50150;58;4;1;2;1;15;3;1;4;6;1;1;;5;10;1;;;6;1;;1;2;12;2;;;;;;;;;;11;;9; ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;2;;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;3;;819;9;;;;;;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
1;50150;50150;58;5;1;1;2;67;1;1;10;3;2;;1;6;4;;;;6;1;;1;2;12;2;;;;;;;;;;11;;12; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;400;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;4;;400;9;;;;;;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;5;1;1;2;68;1;1;10;3;2;;1;6;3;;;;6;1;;1;2;12;2;;;;;;;;;;11;;11; ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;1;380;2;;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;3;;380;9;;;;;;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
1;50150;50150;58;6;1;1;2;74;1;10;10;3;2;;1;4;6;1;;;6;2;50451;1;1;;;;15;1;;4;;;;;;;; ;;;;;5610;5120;6;2;;;;;;;;;;;;;15;6;1;1;3;2;1;15;;;;;;;;;;;;5;100;1;10;18;;;;;;; ;2;;2;;1;100;2;;2; ;2; ;;;;;;;;;;;;;;1;511;38,21389748;3;92;192;4;1;;2;5;9;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202503;3
1;50150;50150;58;6;1;1;2;75;1;10;10;3;2;;1;4;6;1;;;6;1;;1;2;12;2;;;;;;;;;;11;;12; ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;; ;2;;2;;1;200;2;;2; ;2; ;;;;;;;;;;;;;;1;511;9,443825667;3;;200;9;;;;;;5;6;0;0;50150000203;5,015E+17;5,015E+18;5,015E+20;202512;12
